Name,Price USD,Quantity,Link
2400 Battery 18650,"3,84",1,https://item.taobao.com/item.htm?abbucket=3&id=750556365338&mi_id=00006FSFffR0ZtCoqiPW8B26wVUqU_jfCicpfiOqaKKpXUw&ns=1&spm=a21n57.1.hoverItem.9&utparam=%7B%22aplus_abtest%22%3A%22b7407b88966aa4a5fc54ce84dbbf21b5%22%7D&xxc=taobaoSearch
THT LEDs 3mm,"0,6",1,https://item.taobao.com/item.htm?abbucket=3&id=674866929367&mi_id=0000bNeWsbqDHXtNaPV3CUgLfeybR0f0Dq3laCgA6hQzJ14&ns=1&priceTId=212e385a17842533291681983e0c58&skuId=5029993387530&spm=a21n57.1.hoverItem.10&utparam=%7B%22aplus_abtest%22%3A%22c952312c2104ed148cf48aed69a5b08f%22%7D&xxc=taobaoSearch
SS34 Schottky ,"0,1",1,https://www.lcsc.com/product-detail/C8678.html?s_z=n_q_x_SS34%2520schottky&spm=wm.ssy.em.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbVFFWQFBdUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlBADxALGw%3D%3D
22uF capacitor,"0,14",3,https://jlcpcb.com/partdetail/6131-CL31A226KPHNNNE/C5672
47uF capacitor,"0,2",1,https://jlcpcb.com/partdetail/17464-CL21A476MQYNNNE/C16780
"0,1uF capacitor","0,02",2,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
4.7uH inductor,"0,62",1,https://www.lcsc.com/product-detail/C86090.html?spm=wm.fly.bg.0.stp___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
1K resistor,"0,62",3,https://www.lcsc.com/product-detail/C106235.html?spm=wm.fly.bg.2.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
1.2K resistor,"0,4",1,https://www.lcsc.com/product-detail/C114605.html?spm=wm.fly.bg.0.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
100 resistor,"0,4",1,https://www.lcsc.com/product-detail/C122970.html?spm=wm.fly.bg.2.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
4.7K resistor,"0,4",2,https://www.lcsc.com/product-detail/C2907034.html?spm=wm.fly.bg.1.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
0 resistor,"0,47",1,https://www.lcsc.com/product-detail/C95177.html?spm=wm.fly.bg.0.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
110k resistor,"0,27",1,https://www.lcsc.com/product-detail/C2906984.html?spm=wm.fly.bg.1.xh___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
15k resistor,"0,26",1,https://www.lcsc.com/product-detail/C2906995.html?spm=wm.fly.bg.0.stp___wm.mly.mlk.29-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQ1NbU1VQRldfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
,"27,967",,
